yue	eng
每 到 五年 我哋 搞 一次 選舉 六 至 十四 歲 嘅 兒童 都 會 喺 呢個 民主 選舉 裏邊 投票 選出 一個 總理 現任 總理 係 一個 十二 歲 嘅 女仔 佢 朝早 看住 二十 隻 羊 但 夜晚 就 做 返 總理 佢 有 自己 內閣 有 教育部長 能源部 長 衛生部 長 佢 同 內閣 負責 監督 同 管理 150 間 學校 7 000 名學 生 五年 前 呢位 總理 得到 世界 兒童 獎 佢 仲 去咗 瑞典 攞獎 添 佢 第一次 離開 條 村 佢 從未 去過 瑞典 但 佢 對 當時 嘅 場面 都 一啲 唔驚 訝 瑞典 皇后 當時 都 喺度 佢 問 我 你 可唔可以 問下 呢個 小朋友 佢 嘅 自信 邊度 嚟 佢 先得 十二 歲 但 完全 唔驚 嘅 企 喺 皇后 左邊 嘅呢個 細路女 轉身 對 住 我 望住 皇后 然後 同 我 講 話畀 佢 知 我 係 總理	Every five years we have an election Between six to 14 year old children participate in a democratic process and they elect a prime minister The prime minister is 12 years old She looks after 20 goats in the morning but she s prime minister in the evening She has a cabinet a minister of education a minister for energy a minister for health And they actually monitor and supervise 150 schools for 7 000 children She got the World s Children s Prize five years ago and she went to Sweden First time ever going out of her village Never seen Sweden Wasn t dazzled at all by what was happening And the Queen of Sweden who s there turned to me and said Can you ask this child where she got her confidence from She s only 12 years old and she s not dazzled by anything And the girl who s on her left turned to me and looked at the queen straight in the eye and said Please tell her I m the prime minister
你們 將會 見證 一種 嶄新 可 應用	and exciting technology that s going to make us rethink
我哋 得到 呢啲 行星 嘅 觀測 資料 但係 我哋 仲未 知 邊一個 係 適合 居住 嘅 有點 似 被困 喺 臺上 嘅呢 塊 紅 地氈 一樣	We have the observations of those planets but we just don t know which ones are habitable yet It s a little bit like being trapped on a red spot
係 相互 和解 嘅 氣氛 下 同 經歷 過 呢 件 事 嘅 人	with support with help
但 係 我 想話 比 你哋 嘅 係 我 對於 發生 係	but I want to tell you how sorry I am
因為 事情 本身 唔複雜	because it should just be easier than this
公 眾 已知 道 郭 美美 係 冒充 紅十字 商會 經理 職位	we know that she herself made up that title
但 射殺 大象 係 我 人生 中	Loving elephants as I do
呢個 可能 會 震撼 到 一啲 人	and this is going to be drastic to some of you
好 宜家 有幾多 人	All right How many people here are still pretty sure
我哋 今日 係 呢度	Phyllis Rodriguez We are here today
銀行 先 會 有咩 地方 有 保險箱 就得 㗎 咁 㗎	Does he have any lockers
相反	And conversely
第二 方面 係 毛細 胞 如何 針對 聲音 環境 嚟 調節 佢 嘅 放大 程度 喺 寧靜 或者 嘈雜 嘅 環境 裏 邊 係乜 嘢 喺 到 控制 佢 嘅 放大 程度	The second issue is how the hair cell s amplification is adjusted to deal with the acoustic circumstances Who turns the knob to increase or decrease the amplification in a quiet or in a loud environment
首先 酒精 屬於 一類 藥物 我哋 稱 之 為 鎮靜劑 但 鎮靜 唔係 睡眠 而 研究 教 識咗 我哋 呢 兩樣 嘢 係 幾 唔同 嘅 鎮靜 嘅 情況 下 我哋 就 停止 咗 大腦 細胞 發射 特別 係 大腦皮層 嘅 但 咁 唔係 自然 嘅 睡眠 事實 係喺 深層 非 快速 眼動 睡眠 期間 舉 個例 你 個 腦 做到 好 出色 嘅 協調 可以 將 十萬 個 細胞 突然之間 全部 發射 出嚟 然後 佢哋 就 會 全部 靜 哂 然後 又 一齊 發射 之後 又 靜 哂 製造 出 呢啲 深層 非 快速 眼動 睡眠 嘅 強大 腦電波 呢個 就係 第一 種 方法 點解 酒精 會 帶嚟 問題 我哋 誤 以為 鎮靜 係 深層 睡眠	First alcohol is in a class of drugs that we call the sedatives But sedation is not sleep And studies teach us that those two things are really quite different Sedation is a case where we re simply switching off the firing of the brain cells particularly in the cortex And that s not natural sleep In fact during deep non rapid eye movement sleep for example the brain has this remarkable coordination of hundreds of thousands of cells that all of a sudden fire together and then they all go silent and then they all fire together and then they go silent producing these big powerful brainwaves of deep non REM sleep And so that s the first way in which alcohol can be problematic We re mistaking sedation for deep sleep
佔 了 美國人 口 的 45 到 50	as high as 45 or 50 percent of America
我 另 個頭 嘗試 睇睇 所有人	I m turning my head trying to see everybody
有 一個人 正在 吹熄 了 生日蛋糕 上 的 火光	blowing out the fire on top of a cake
但 而家 仍然 有 非法 砍 木 嘅 問題	and deforestation still on a very large scale
我哋 需要 一個 長遠 而 徹底 嘅 改變	We need a drastic change in the way we think and behave
更改 樂隊 成員 嘅 崗位	Change instrument roles
畢竟 小兒 書 就係 大人 教導 細路仔 嘅 手冊	After all children s books are manuals on parenting
現實 喺 我哋 嘅 文化 輕視 玩	But no now our meme goes into work where we don t value play
我們 就 能 釋放 出 人類 大量 的 潛能	then we can unleash just massive amounts of human potential
我 嘗 是 跟 迶 聖經 中的 所有 的 事	I tried to follow everything in the Bible
咁 你 咪 唔好 去 囉	Then don t go
都 識 一啲 你 唔識得 嘅嘢	knows something that you don t
搵到 歸屬	to belong
佢地 都 接受	They all accepted
我 食 佢哋 嘅 麵包 聽 佢哋 祈禱	And I shared their bread and their prayer
即使 我 當時 仲好 細	But even as a child I could feel the heaviness
被 折斷 咗 腿 脫 咗 臼	whose legs were broken and pulled out of her sockets
邊個 最 童心 未 泯	And who are the biggest neotenists
壓 製成 五千 塊 磚頭	from the dirt beneath my feet
少數 不如 意 的 事情	on the three or four that went wrong
一起 同在 呢 片 美麗 的 土地	all over that beautiful land
我哋 占 有 市場 最少 嘅 利潤	We had marginal profits
會 帶 著 呢個 悲劇 呢幾個 悲劇 一直行 落去 我 知道 好多 人 諗 我 嘅 損失 嘅 遠 唔 及 受害者 家屬 我 嘅 掙扎 唔會 減輕 佢哋 嘅 痛苦 有人 認 為 我 冇 痛苦 嘅 權利 只有 用 成世 去 贖罪 我 嘅 總結 係	I know that I will live with this tragedy with these multiple tragedies for the rest of my life I know that in the minds of many what I lost can t compare to what the other families lost I know my struggle doesn t make theirs any easier I know there are even some who think I don t have the right to any pain but only to a life of permanent penance
咁 樣 過咗 六 個月	So at the end of six months of this
你 同 我 真係 唔係 一時 衝動	It isn t a moment of passion is it
我哋 係點 樣 喺 咁大 嘅 平原 裏面 搵 一 座 埋 喺 地底 嘅 城市 漫無目的 咁 搵 有如 大海撈針	So how do you find a buried city in a vast landscape Finding it randomly would be the equivalent of locating a needle in a haystack blindfolded wearing baseball mitts
我哋 就話 咁 我哋 試下 可以 行 幾遠 啦	We said Okay let s try and push as far as we can
我 就 畀 你 打	I ll let you Hit me
合作 鼓勵 合作	and collaboration encouraging collaboration
因為 你 覺得 要 嚴肅 啦	because you feel like you have to be serious
就係 互動 資料 圖表	are the interactive infographics
一個 佢哋 從未 話過 俾 人 知 嘅 秘密	they d never told anyone before
咁 都 得 用 動作 齋 跳舞 跳 畀人 睇 囉	Then show it Dance it out
咁 你 一日 要 花 幾多個 鐘 來 做 呢啲嘢	So how many hours of the day does that take
但 這是 很 有趣 的	But it was interesting
自從 二戰 之後 我哋 一直 喺度 有系統	Since World War II we have been systematically
不過 他們 正面 對 一個 老年 化 的 中國	But they are facing an aging China
2008 年 我 有機會 以 藝術家 嘅 身份 定居 柏林 之前 呢 我 就 有 一段 時間 做 過 做 過 畫家 暑假 期間 我 參觀 咗 唔同 嘅 博物館 同 畫廊 當 我 喺 唔同 嘅 地方 參觀 嗰陣 我 發覺 呢啲 地方 都 冇 視覺藝術 嗰 時 聲音 係 主流 但 我 令 我 好 託 異 嘅係 冇 一樣嘢 係 視覺藝術 所有 嘢 都 係 聽覺	In the year 2008 I had the opportunity to travel to Berlin Germany for an artist residency there Prior to this time I had been working as a painter During this summer I visited different museums and gallery spaces and as I went from one place to the next I noticed there was no visual art there At that time sound was trending and this struck me there was no visual art everything was auditory
所以 呢個 原因 我 認 為 盡可能 建立 一個 安全 嘅 網絡 會 比較 好 呢樣 意味 著 將來 加密 技術 會 令 監聽 更加 困難 意味 著 警察 花 喺 拉人 嘅時 間 會 更 艱巨 但如果 唔 噉 做嘅 話 我哋 就要 活 喺 一個 世界 任何人 嘅 通話 短訊 都 可以 俾 犯案 嘅人 跟蹤 者 或者 監視 者 同埋 外國 情報 機關 監聽 而 我 唔想 活 喺 噉樣嘅 世界 裏面	And so for that reason I think that it s better to build networks to be as secure as possible Yes this means that in the future encryption is going to make wiretapping more difficult It means that the police are going to have a tougher time catching bad guys But the alternative would mean to live in a world where anyone s calls or anyone s text messages could be surveilled by criminals by stalkers and by foreign intelligence agencies And I don t want to live in that kind of world
喺 我 做完 神經外科 手術 之後	After my neurosurgery
產生 有害 蛋白	or those pernicious proteins
其中 一 隻 搽 咗 納米 噴霧	and we ve coated one of the gloves
所以 我 再讀 去 返 書 開始 研究 我 嘅 另一個 世界 科學家 啱啱先 喺 實驗室 發現 喺 試管 裏 邊 碳 可以 從 一個 松樹 嘅 幼苗 傳 去 另一 棵 幼苗 嗰度 但 呢個 只係 實驗室 裏 邊頭 發現 我 喺度 諗 喺 森林 度 得唔得 呢 我 諗 應該 得 樹木 或者 真係 可以 喺 地底 傳送 信息 但 呢個 諗法 爭議 太大 啲人 甚至 以為 我 癲 咗 所以 我 好 難 籌 到 研究 經費 但係 我 一直 堅持 卒之 我 喺 森林 做咗 啲 實驗 喺 25 年前 我 種 咗 3 種樹 一種 80 棵 北美 白 樺 黃 杉 同 紅 崖 柏 我 設想 北美 白 樺 同 黃 杉 會 喺 地底 有 交流 但 紅 崖 柏 就冇 紅 崖 柏 只會 自 成 一 國 跟住 我 準備 好曬 啲 器材 因為 冇錢 成本 盡量 要 低 所以 我 去咗 加拿大 輪胎 公司	So I went back to school and I studied my other world You see scientists had just discovered in the laboratory in vitro that one pine seedling root could transmit carbon to another pine seedling root But this was in the laboratory and I wondered could this happen in real forests I thought yes Trees in real forests might also share information below ground But this was really controversial and some people thought I was crazy and I had a really hard time getting research funding But I persevered and I eventually conducted some experiments deep in the forest 25 years ago I grew 80 replicates of three species paper birch Douglas fir and western red cedar I figured the birch and the fir would be connected in a belowground web but not the cedar It was in its own other world And I gathered my apparatus and I had no money so I had to do it on the cheap So I went to Canadian Tire
他們 會 創造 怎樣 的 不同	and what are the differences they are going to make
但 你 睇返 原料 表	but in fact if you look at the ingredient list
掌聲	Applause
海豚 有 好 大 嘅 腦 玩得 好多	Dolphins pretty big brains play a lot
我 嘅 自我 開始 改變	The self changed
將 我哋 聯繫 埋 一齊 嘅 網路	all the connections that we re doing right now
講句 實話 我 從來不 認 為 你 有 個 身體	and to be honest it never occurred to me that you had a body
我 同時 想 講嘅 係 好似 今日 咁	And I should also mention that just like today
壽命 預期 提升 至 78 歲	Lifespan has increased to 78
你 一定 唔可以 淨係 想 坐喺 度 開會	don t call me if you want to sit around in cushy chairs
我 話 唔係	Laughter
我 諗 在座 會 有人 走去 搞 㗎 可	and one of you is going to do this right
係 所有 嘅 一切	It was all these things
咁 有咩 嘢 應用 呢 我 估 大家 依家 都 諗 繄 呢個 問題 每個人 睇見 呢 項 技術 都 會 好興奮 然後 講 噢 我 可以 用 佢 嚟 做 呢樣 呢樣 呢樣 一般嚟講 塗料 可以 應用 喺 任何 唔 濕 得嘅 嘢 塗料 除咗 做到 防水 之外 可以 防 結冰 因為 你 無水 你 就 無 冰 佢 亦可 以防 腐蝕 因為 無水 無 腐蝕 仲 可以 防 菌 細菌 唔可以 喺 無水 嘅 情況 下 生存 亦可 以 用 喺 需要 自動 清洗 嘅 物件 上	So what are the applications I mean many of you right now are probably going through your head Everyone that sees this gets excited and says Oh I could use it for this and this and this The applications in a general sense could be anything that s anti wetting We ve certainly seen that today It could be anything that s anti icing because if you don t have water you don t have ice It could be anti corrosion No water no corrosion It could be anti bacterial Without water the bacteria won t survive And it could be things that need to be self cleaning as well
呢個 就是 低 恐慌 組 嘅 部份	So that was the low fear group
我 即刻 受到 同情	I got immediate sympathy
所有人 都 知道 應該 要點 樣 做 先至 正確	Those are all behaviors where people know what they re supposed to do
等 我 講 畀 你 聽	So let me show you a little of that
我 都 喜歡 完全 投入 咁 地 研究 我 嘅 題目	And I like to immerse myself in my topics
或者 係咪 善待 啲 動物	or whether we re being nice to animals
額 點解 啊	Well why
點解要 揀 我 做 你 保鏢 呀	Why do you want me to be your bodyguard
呢度 係 另一個 例子	So here s another example
地區 政府 都 無權 取得 儲存 喺 北京 嘅 資料	the local government has not any access to the data in Beijing
變成 未來 一個	and turning it into an amazing future
嫲嫲 故仔 入邊 嘅 森林	of my grandmother s tales
還有 的 是 就算 那些 力量 不是 有害 的	And the thing is if they re not harmful
十點半 到 12 點 我 同 朱 迪 思 見面 佢 係 我 當時 嘅 一個 研究生	From 10 30 a m to 12 00 p m I met with Judith who was one of my graduate students at the time
其實 上 一張 幻燈片	that previous slide was actually
如果 大家 從 宜家 就 開始 行動	warning a wake up call to get ready
一 位 農業 工程師 Anthony Fitzherbert	an agricultural engineer
而 唔使 受 地方 限制	because then you don t need to compromise
年齡 大致 20 歲 左右	in their late teens and early 20s
我 畀啲 提示 你哋	and I ll give you a hint
我 唔知道	and she said
嚟 瞭解 個 心臟	to look at the heart
原因 係 二戰 之後 我哋 改變 耕種 方式	And the reason is after World War II
佢 亦 令 喺 沙漠 搵水 源 同 食物 嘅	looking for water looking for food
上海 一千幾百 萬人 人海茫茫	There are millions of people in Shanghai
我 聽日 就 返 香港 㗎喇	I ll go back to Hong Kong tomorrow
從而 更 有效 作出 選擇 採取行動	into what choices they can make what actions they can take
大豆 粟米 牛隻 大行其道	soy corn and cattle became king
我 唔用 畫布 如果 我 想 畫 你 嘅 肖像 我 會 直接 畫 喺 你 身上 即係話 你 會 被 搽 上好 多 顏料 包括 你 嘅 耳仔 因為 我 需要 喺 你 嘅 耳仔 上面 畫 你 嘅 耳仔 呢度 所有 嘢 人 衫 凳 牆 全 都 油 上 一層 顏料 咁 樣 係 為咗 直接 模仿 人 同 物件 透過 呢 一種 方式 我 就可以 將 一個 立體 環境 整到 平面 畫 咁 就算 我 由 唔同 角度 影相 出嚟 嘅 效果 都 仍然 係 平面 咁 Photoshop 我 都 冇用過 呢張 係 我 其中 一 幅 立體 畫 嘅 相	What I do in my art is I skip the canvas altogether and if I want to paint your portrait I m painting it on you physically on you That also means you re probably going to end up with an earful of paint because I need to paint your ear on your ear Everything in this scene the person the clothes chairs wall gets covered in a mask of paint that mimics what s directly below it and in this way I m able to take a three dimensional scene and make it look like a two dimensional painting I can photograph it from any angle and it will still look 2D There s no Photoshop here This is just a photo of one of my three dimensional paintings
也 建構 出 我們 的 機器	for the American farmer builder entrepreneur maker
為 什麼 聖經 要 我們 做 這些 東西 為 什麼 上帝 會 註 意 這些 事情	Why would the Bible possibly tell us to do this Why would God care
我 後生 嗰陣時 係 非洲 年輕 嘅 生物學家	When I was a young man
老師 係 修女 神父 兄弟 姐妹	taught by nuns fathers brothers sisters
笑	Laughter
佢哋 喺 高 高 嘅 草叢 中 嘅 一 棵 樹 底下	under a tree in tall grass
Grand Avenue 嘅 舖頭 做生意	along Grand Avenue
市場營銷 呢 一個 重點	on a key aspect of marketing
亦即係 話 每 15 分鐘 就 有 一單	There are 38 000 suicides each year in the United States
講者 冇錯	AK That s right
我 冇 諗過 對 人 或者 顏料 做 啲 乜嘢	with either people or paint
就 沒辦法 同 其他 貓 交際	are unable to interact socially
去咗 大學	and I went to college
甚至 整個 世界	or at large the world
多謝	Thank you very much
不過	But
齋月 嗰陣 時 我哋 都 要 食齋	We all had to fast during Ramadan
我 啲 數學 麻麻地 但 係 計 依 嘀 都 仲 係 夠 用 既	Now my math s a little shaky but this is pretty good
笑聲	Laughter
反而 將 佢地 送 左 去 一個 同 佢地 有仇 嘅 貧民窟	they brought them to an enemy favela
當 我 表演 一個 角色 的 時候	And when I m acting a role
認真 嘅 我哋 要 一齊 努力	Seriously we need to band together
用 簡稱 DAISY 嘅 數碼 存取 系統 儲存	and now we put talking books on CDs
笑聲 呼叫 蝙蝠 跌落 聲	Laughter
主持 喺 Harlem 兒童 區 入面 中學生 嘅 輟學率 係 幾多 呢	John Legend So what is the high school dropout rate at Harlem Children s Zone
因為 我 著 橙色 監 等 服 唔好睇	because I don t look good in orange
但係 我哋 真正 需要 嘅	we should buy and own some great stuff
不過 你 可能 唔知	But what you may not know
對 我 嚟講 依個 係 好 可怕 嘅 決定	and bring them down to a level that the land could sustain
有 見 及 此	So we thought of starting a school
居魯士 圓柱 嘅 複製品 存放 喺 聯合國 今年 秋天 喺 紐約 辯論 中東 未來 嘅 會 上 你 會見 到 佢 嘅 蹤影 我 希望 以 一個 問題 完結 我 今日 嘅 演講 居魯士 圓柱 接住 會 咩 新 故事 呢 可以 肯定 嘅係 居魯士 圓柱 會 出現 喺 更多 中東 故事 裏邊 而 你哋 想 中東 以至 全世界 會 有點 樣 嘅 故事 去 應驗 圓柱 所 講嘅 嘢 呢 意思 係 不同 種族 不同 信仰 嘅人 民 能夠 喺 同一個 國家 自由 生活 做 唔同 嘅事 意思 係 無論 係 中東 抑或 係 世界 嘅 任何 一 角落 宗教 唔 分化 人 或者 引起 紛爭	A replica of this is at the United Nations In New York this autumn it will be present when the great debates about the future of the Middle East take place And I want to finish by asking you what the next story will be in which this object figures It will appear certainly in many more Middle Eastern stories And what story of the Middle East what story of the world do you want to see reflecting what is said what is expressed in this cylinder The right of peoples to live together in the same state worshiping differently freely a Middle East a world in which religion is not the subject of division or of debate
巴勒斯坦 人 同 以色列人	doing the same jobs
應該 話 會 令 佢哋 繼續 生存	Well they kept them alive
係 因為 其他人 冇 權 獲取	is well because no one else has access to it
所以 我 每日 嘅 生活 有 75 至 80 都 要 做 依啲 嘢	so this was 75 80 percent of my day I had to do it
上咗 優等生 名錄	and made dean s list from the first semester in high school
一啲 都 唔 奇怪	are not optimistic about the future
觀眾 係 佢 鍚 你	A Yes she does
呢啲 完全 由 天氣 數據 或者 係 科學 數據	These forms are completely made up
想出 嚟嘅 辦法	by a couple researchers at Dartmouth Medical School
飲食 同 地球 毀滅 嘅 循環 開端	dietary and planetary destruction began
我 心諗	And I thought to myself
啊 你 一定 覺得 好正 想 溝 我 呢	Were you trying to flirt with me
脊髓 入面 橫向 縱向 垂直	laterally vertically up and down in the spinal cord
辦 嫁妝	Your trousseau
耗費 52 分鐘	of 52 minutes per day
美國 首次 報導 有 大量 蜂 群 死亡	were reported to be dying en masse
點解	Why
響 巴黎 最 舊 的 住宅區 爆發	had broken into the first projects of Paris
通過 微博	So through microblogging
執行 死刑 嘅 明信片	from the early 1900s
我 知 終 有一日 我 會 穩 到 佢	I knew I would find her someday
我哋 會 用到 最先 進 科技 描繪 成個 國家 嘅 地形 呢 一個 夢 係由 Hiram Bingham 開始 嘅 但 我哋 將 個 夢 延伸 到 全世界 令 更多 地方 都 可以 有 考古 亦 令到 考古 規模 更加 大	We will do nothing less than use state of the art technology to map an entire country This is a dream started by Hiram Bingham but we are expanding it to the world making archaeological exploration more open inclusive and at a scale simply not previously possible
解決 你哋 之間 嘅 拗 叫 係 徒 氣 嘅	that working on an issue between you was futile
收埋 油 上咗 顏料 嘅 我	my own painted version
展示 喺 依 場 遊戲 嘅 帷幕 後邊	behind the curtain of the great game
因為 畢竟 我 嘅 父親 死於 饑荒	I felt so suffocated that I had so much food in America
嗰啲 生命 中 微小 嘅 野	The little things in life
神經 之間 嘅 聯繫 非常 簡單	is just simple where one nerve connects with the next nerve
係咁 多 多謝	Peace Thank you
笑聲	Laughter
乳酪 好似 同 西蘭花 咁好	yogurt being almost as good as broccoli
戰爭 與 傷痛 底下 嘅 女人	Women of war and pain
佢哋 學嘢 就 會 越 快	and they learn tasks better
許多 女人 身體 裏 永遠 的 留低 咗 創口	and many of the women had holes in their bodies
我 唔知 係咪 因為 過往 啲人 太 缺水 所致	I don t know if this was a reaction to lack of water
笑聲	Laughter
呢度 我哋 想 你 測試 瘋狂 嘅 想法	That is where we want you to try crazy ideas
而 當然 您 當時 正 超速	and of course you re going faster than that
工作記憶 容量 由來已久 帶畀 人類 好多 好處 工作記憶 容量 大 嘅人 一般 都 擅長 講故仔 而且 無論 測驗 對 佢哋 有 幾重 要 都 好 佢哋 都 考 得 好好 佢哋 嘅 寫作 能力 都 好 高 推理 水平 都 好 高	Now working memory capacity has a fairly long history and it s associated with a lot of positive effects People with high working memory capacity tend to be good storytellers They tend to solve and do well on standardized tests however important that is They re able to have high levels of writing ability They re also able to reason at high levels
至少 就係 一 件 好事	well this is something good
但係 塔利班 分子 好 憎 佢哋	hated by the Taliban
佢 貼 嘅 地方 有咩用 意	the statement it makes where it s pasted
我 見過 後生仔 想 搵 份工 做 但係 佢哋 被 呢個 現實 社會 限制 咗 我 識得 好多 非 白種人 嘅 年輕人 身處 呢個 困局 無 前途 可言 所以 我 就 諗 我哋 可以 用 呢個 園藝 計劃 去 訓練 呢啲 細路 畀 佢哋 去 接掌 佢哋 嘅 社區 畀 佢哋 可以 自力更生 我哋 咁 樣 做嘅 時候 無人 知道 日後 佢哋 會 有咩 創舉 我哋 可能 培養 出 喬治 華盛頓 卡 弗 二世 嘅人 但如果 一日 我們 唔 改變 泥土 嘅 成份 我哋 永遠 就 唔會 有可能	I see young people and they want to work but they re in this thing where they re caught up I see kids of color and they re just on this track that s designed for them that leads them to nowhere So with gardening I see an opportunity where we can train these kids to take over their communities to have a sustainable life And when we do this who knows We might produce the next George Washington Carver but if we don t change the composition of the soil we will never do this
對 即將 發生 的 事情 保持 驚喜 之 心	and marvel at what comes next
瘋狂 嘅 幽默	insane humor
通過 釋放 呢 啲 棕色 包裹	by releasing these little brown packets
縱身 跳入 橋 下 莫測 的 河水 中	and he leaped to the treacherous waters below
兩 個 星期 之前 我 響 巴黎 工作室	Two weeks ago I was in my studio in Paris
每一 槍 都 打 係 佢 嘅 心口	every gun shot to her soul
多謝 各位	Thank you for your attention
不只 是 我 個人 的 旅程	than about my journey
依家 我 訓 低 係 草地 上	Now I lay down in the grass
當 我 決定 無辦法 或者 唔去 做 一 件 事	I ve decided that what I can t and won t do anymore
所以 快 去 刷牙 同埋 用 牙線 啦	So go brush and floss your teeth
下次 我哋 未必 會 咁好 彩 一個人 可以 帶住 病毒 但 又 冇事 只要 呢個 人 上機 或者 去街 市 都 可以 將 病毒 傳開 去 病毒 嘅 源頭 可以 係 自然 既 流行病 好似 伊波拉 咁 亦可 以 係 呢 自 生物 恐怖主義 所以 事情 往往 可以 造成 千 倍 更 大 嘅 傷害	So next time we might not be so lucky You can have a virus where people feel well enough while they re infectious that they get on a plane or they go to a market The source of the virus could be a natural epidemic like Ebola or it could be bioterrorism So there are things that would literally make things a thousand times worse
自從 有 歷史 文獻 開始	that draws people into their world
所以 我 一直 努力 學 點去 愛惜 身體	so I learned how to do this
因為 我哋 固步自封	because we are handicapping ourselves
我 仲要 製造 一 臺 時光機	And I want to make a time machine
當然 發聲 圖書 比 閱讀器 更加 早 出現	Of course talking books for the blind
我 嘅 翻譯 介質 就係 一個 好 簡單 嘅 籃	My translation medium is a very simple basket
我哋 定時定候 就 會 返去	We go back regularly
頒發 咗 新政 策	on house requisition and demolition
而且 我 係 一 名 藝術家	See I m an artist
佢哋 要搵 甜美 單純	they were looking for some sweet innocent
喺 唔夠 半個 世紀 之前 有 兩 位 勇敢 嘅人 登陸月球 當時 電腦 嘅 性能 比 我哋 嘅 智能手機 仲 差 六 億 人 透過 黑白電視 見證 住 歷史 一刻 咁 個 世界 呢 當時 世界 被 深深 咁 吸引 住	Less than half a century ago two courageous men landed on the moon using computers that were less powerful than the phones in your pockets Six hundred million humans watched them on grainy black and white televisions And the world The world was mesmerized
而 呢張 係 經過 我哋 重新 設計 之後 嘅 報告	and this is the after this is what we came up with
喺 三部曲 嘅 最後 一部 裏邊 我 想 將 重點 放喺 身體 我 嘗試 活 得 健康 成為 最 健康 嘅人 所以 我 過去 幾年 就係 做緊 依啲 嘢 而 前 幾個 月 我 先啱 啱 完成 依啲 嘢 我 想 講 感謝 上帝 因為 咁 健康 生活 真係 好 攞命 笑聲 真係 好 難頂 因為 你 要 做好 多 好多 嘢 多 到 難以置信 我 聽過 所有 專家 嘅 意見 仲 同 過 好多 醫學專家 傾 過 計 佢哋 個個 都 話 我 知 我 要 做嘅 嘢 包括 要 正確 飲食 做運動 冥想 同埋 養 狗 因為 呢啲 都 可以 降 血壓 我 又 喺 跑步機 上邊 邊 跑 邊 寫書 結果 用咗 我 大概 跑 1 000 英里 嘅時 間 嚟 寫 一本 書 我 仲要 搽 太陽油 搽 太陽油 係 好 大工程 嚟 因為 如果 你 聽 皮膚科 醫生 嘅話 你 需要 搽 一個 細 酒 盃 嘅 份量 而且 每 四 個鐘 就要 補 搽 一次 我 估 有 一半 寫書 嘅時 間 用咗 嚟 搽 太陽油 於是 我 變成 一 隻 搽 咗 油 嘅 冬甩 有成 差唔多 一年 然後 到 洗手 我 要好 認真 咁 洗 而且 我 個 免疫 醫生 話 要 抹乾淨 屋企 所有 遙控 同 手機 因為 佢哋 都 係 細菌 嘅 樂園 又一次 用咗 我 好多時 間	Now the final part of the trilogy was I wanted to focus on the body and try to be the healthiest person I could be the healthiest person alive So that s what I ve been doing the last couple of years And I just finished a couple of months ago And I have to say thank God Because living so healthily was killing me Laughter It was so overwhelming because the amount of things you have to do it s just mind boggling I was listening to all the experts and talking to sort of a board of medical advisers And they were telling me all the things I had to do I had to eat right exercise meditate pet dogs because that lowers the blood pressure I wrote the book on a treadmill and it took me about a thousand miles to write the book I had to put on sunscreen This was no small feat because if you listen to dermatologists they say that you should have a shot glass full of sunscreen And you have to reapply it every two to four hours So I think half of my book advance went into sunscreen I was like a glazed doughnut for most of the year There was the washing of hands I had to do that properly And my immunologist told me that I should also wipe down all of the remote controls and iPhones in my house because those are just orgies of germs So that took a lot of time
如果 我哋 擔心 貧困 同 發展	If what we re worried about is poverty and development
你 有冇 試過 瞓醒 之後 覺得 好 幸福 但 之後 諗返 起 有人 離開 咗 你 嘅 恐佈 回憶	Have you ever woken up blissfully and suddenly been flooded by the awful remembrance that someone had left you
打擊 嚴重 慢性 痛楚 所 引起 嘅	to address the despondency despair and depression
同埋 美 說 大家 新年 幫 一 大筆 錢 走 嘅 路	So they eloped with the evidence
我們 應該 立刻 將 腳 從 油門 鬆開	We should take our foot off the pedal right now
這是 重要的 一 課 因為 我 在 禱告 時	And this one was a big lesson because I was praying
就 好似 有人 來到 你 屋企	It s almost as if somebody came into your home
笑	Laughter
咁 社交 就係 令 你 同 我 活動 嘅 原因 人哋 叫 我 參加 一個 會議 但係 安排 唔到 畀 我 入去 於是 就話 我 聽日 會同 狗仔 一齊 散步 你 會 嚟 嗎 咁 樣 聽 起嚟 可能 好奇 怪 但係 我 記得 第一次 開會 嘅時候 我 同 自己 講 我 要 問下 個 問題 查實 係 因為 開會 期間 我 會 不停 咁 氣咳 同 普通 咳 而 我 又唔 想 影響 大家 想 早啲 問完 問題 走 所以 我 決定 與其 飲咖啡 開會 或者 喺 會議室 開會 我 倒不如 叫 人哋 同 我 一邊 行路 一邊 開會 一個 星期 大概 20 到 30 英里 咁 樣 嘅 開會 方式 改變 咗 我	What did get me moving was a social interaction Someone invited me to a meeting but couldn t manage to fit me in to a regular sort of conference room meeting and said I have to walk my dogs tomorrow Could you come then It seemed kind of odd to do and actually that first meeting I remember thinking I have to be the one to ask the next question because I knew I was going to huff and puff during this conversation And yet I ve taken that idea and made it my own So instead of going to coffee meetings or fluorescent lit conference room meetings I ask people to go on a walking meeting to the tune of 20 to 30 miles a week It s changed my life
獨立 研究	on their surveys
咁 你 點樣 先可以 過 簡約 嘅 生活	So how can you live little
佢哋 嘅 關係	Their relationship
掌聲	Applause
個 森林 周圍 都 係 墓地	A land where every field hides a grave
